frame_id,track_id,gt_id,distance
1,1,0,
2,1,0,
3,1,0,
4,1,0,
5,1,0,
6,1,0,
7,1,0,
8,1,0,
9,1,0,
10,1,0,
11,1,0,
12,1,0,
13,1,0,
14,1,0,
15,1,0,
16,1,0,
17,1,0,
18,1,0,
19,1,0,
20,1,0,
21,1,0,
22,1,0,
23,1,0,
24,1,0,
25,1,0,
26,1,0,
27,1,0,
28,1,0,
29,1,0,
30,1,0,0.3706644089062899
31,1,0,0.3727788075400093
32,1,0,0.3376345573129834
33,1,0,0.34358535743164537
34,1,0,0.3499976603721258
35,1,0,0.355914083955315
36,1,0,0.35967292868617146
37,1,0,0.32819575747790036
38,1,0,0.3344366319408356
39,1,0,0.33955805076620266
40,1,0,0.34203329759995915
41,1,0,0.3434962751808292
42,1,0,0.31601554869053616
43,1,0,0.32292623906280776
44,1,0,0.2973661071739646
45,1,0,0.30728856522911974
46,1,0,0.3174858744054217
47,1,0,0.3272917024260302
48,1,0,0.3351470382468359
49,1,0,0.34288998964780376
50,1,0,0.34918027282392095
51,1,0,0.3556169472396982
52,1,0,0.3642813131173846
53,1,0,0.3395169405803532
54,1,0,0.3431707067105222
55,1,0,0.3457549977223134
56,1,0,0.34899850533693205
57,1,0,0.32614821206286915
58,1,0,0.3304414422742581
59,1,0,0.3344855626814281
60,1,0,0.3385151920146749
61,1,0,0.3432016885275937
62,1,0,0.34726700386247245
63,1,0,0.3521086192574493
64,1,0,0.3565304102479937
65,1,0,0.36116889800586727
66,1,0,0.36620836284784
67,1,0,0.3716536203165495
68,1,0,0.37746711250373755
69,1,0,0.3837298009712658
70,1,0,0.3900364176483312
71,1,0,0.3948221296222168
72,1,0,0.4041172794778201
73,1,0,0.40807128119105995
74,1,0,0.41080945426607346
75,1,0,0.41236590072582713
76,1,0,0.41346597142041147
77,1,0,0.41332933594876875
78,1,0,0.4137014462040701
79,1,0,0.41336490083183547
80,1,0,0.4134571675626289
81,1,0,0.39052053401053277
82,1,0,0.3917251633354862
83,1,0,0.392913281978873
84,1,0,0.3943351829938615
85,1,0,0.3954070245082085
86,1,0,0.39707308947538766
87,1,0,0.3992981286611354
88,1,0,0.4010602036044866
89,1,0,0.4031072209836549
90,1,0,0.4056535972690286
91,1,0,0.4085315605874187
92,1,0,0.4167279170579638
93,1,0,0.41991217745073856
94,1,0,0.4235463640567228
95,1,0,0.4259531408106459
96,1,0,0.4284196112768615
