frame_id,track_id,gt_id,distance
1,1,0,
2,1,0,
3,1,0,
4,1,0,
5,1,0,
6,1,0,
7,1,0,0.30167085437550817
8,1,0,0.31155105919725606
9,1,0,0.27468648023420883
10,1,0,0.27698287509560887
11,1,0,0.2725929073532367
12,1,0,0.26926175611716674
13,1,0,0.26812408867466986
14,1,0,0.2799290752116492
15,1,0,0.29503804719204846
16,1,0,0.2817002557223285
17,1,0,0.27289495820522147
18,1,0,0.28468157956346696
19,1,0,0.2774358203546542
20,1,0,0.29086872409877323
21,1,0,0.2826641420635437
22,1,0,0.295987640512653
23,1,0,0.307695556246339
24,1,0,0.317753169719185
25,1,0,0.3278187668844236
26,1,0,0.3360682410179748
27,1,0,0.3445821681378916
28,1,0,0.3216018252050482
29,1,0,0.3050940448752785
30,1,0,0.2927803406344348
31,1,0,0.2824375851194394
32,1,0,0.27487175343304726
33,1,0,0.28282441743569053
34,1,0,0.2888383078912609
35,1,0,0.2806620104449637
36,1,0,0.2727796124352813
37,1,0,0.2783440069165431
38,1,0,0.2731437869221825
39,1,0,0.27968451911765624
40,1,0,0.2740198984008248
41,1,0,0.2704758754149269
42,1,0,0.27737524560370946
43,1,0,0.27308777425458824
44,1,0,0.2685619525390844
45,1,0,0.2648007441551313
46,1,0,0.2624753898616459
47,1,0,0.2672141302691277
48,1,0,0.2709203869803339
49,1,0,0.27533284465408314
50,1,0,0.2704796760202574
51,1,0,0.2642079736398094
52,1,0,0.2680221978443853
53,1,0,0.2724330457596011
54,1,0,0.2660879884665491
55,1,0,0.2600668229708595
56,1,0,0.2651642051978533
57,1,0,0.2603380018390619
58,1,0,0.2628640001367561
59,1,0,0.25581510891348486
60,1,0,0.25122376670521185
61,1,0,0.24763010057990076
62,1,0,0.24463190638265403
63,1,0,0.2422807268211734
64,1,0,0.24095671034676958
65,1,0,0.2405462492120104
66,1,0,0.2401701869036497
67,1,0,0.24427466598638561
68,1,0,0.24944795437955394
69,1,0,0.24606060139774333
70,1,0,0.24338944996969722
71,1,0,0.24075619350742647
72,1,0,0.23899589844817595
73,1,0,0.23744167637128907
74,1,0,0.23530278837360696
75,1,0,0.23366556719455955
76,1,0,0.23666195446927263
77,1,0,0.23488433530067046
78,1,0,0.23777701824436479
79,1,0,0.24073855333297164
80,1,0,0.23749057544689783
81,1,0,0.23516480900791295
82,1,0,0.23773366510189833
83,1,0,0.24020595480272103
