frame_id,track_id,gt_id,value_track,value_gt
1,1,0,,11.29
2,1,0,,11.2869053
3,1,0,,11.2867575
4,1,0,,11.2842331
5,1,0,,11.2812319
6,1,0,,11.2774429
7,1,0,,11.2717762
8,1,0,,11.2648869
9,1,0,,11.2573481
10,1,0,,11.2493858
11,1,0,,11.2428427
12,1,0,,11.2374706
13,1,0,,11.2316618
14,1,0,,11.2251587
15,1,0,,11.2183666
16,1,0,,11.2147532
17,1,0,,11.2111979
18,1,0,,11.206852
19,1,0,,11.20112
20,1,0,,11.1942854
21,1,0,,11.186738
22,1,0,,11.1789818
23,1,0,,11.172
24,1,0,,11.1654711
25,1,0,,11.1589842
26,1,0,,11.1531277
27,1,0,,11.1472464
28,1,0,,11.1424494
29,1,0,,11.1376095
30,1,0,,11.1326532
31,1,0,,11.1274853
32,1,0,11.46962851861526,11.1222172
33,1,0,11.46962851861526,11.1168766
34,1,0,11.462968681035115,11.1114559
35,1,0,11.432117489736957,11.1061764
36,1,0,11.403581484560444,11.1009264
37,1,0,11.377916855249323,11.0954361
38,1,0,11.354853584591254,11.0897007
39,1,0,11.332142631778872,11.0839348
40,1,0,11.291778443752236,11.0776987
41,1,0,11.273783627301464,11.0711575
42,1,0,11.257147269056961,11.0644007
43,1,0,11.239652415312777,11.0577393
44,1,0,11.224432336353743,11.0511732
45,1,0,11.209428092925751,11.0448141
46,1,0,11.195308386277318,11.0386734
47,1,0,11.181967601295893,11.0325079
48,1,0,11.169368903998254,11.026515
49,1,0,11.158091478164055,11.0209475
50,1,0,11.146231507679236,11.0152779
51,1,0,11.135608282569986,11.0094624
52,1,0,11.124404240683997,11.0032806
53,1,0,11.114367361991697,10.9973221
54,1,0,11.104318057922221,10.9916143
55,1,0,11.09484951558501,10.98645
56,1,0,11.086386108177646,10.9816523
57,1,0,11.086386108177646,10.9770117
58,1,0,11.085012458663194,10.9724226
59,1,0,11.094280538677229,10.9674807
60,1,0,11.086066750834629,10.9621706
61,1,0,11.077600770734552,10.9567337
62,1,0,11.069305654436478,10.9512405
63,1,0,11.061842158940534,10.9458027
64,1,0,11.054563720272762,10.9387722
65,1,0,11.045766116375258,10.9313583
66,1,0,11.03670562008011,10.923933
67,1,0,11.0273109638056,10.9170542
68,1,0,11.018775303314289,10.9106331
69,1,0,11.00987887098134,10.9046822
70,1,0,11.001785383891006,10.8990622
71,1,0,10.99442802425251,10.8931694
72,1,0,10.987239823830219,10.887351
73,1,0,10.980706674289348,10.8820524
74,1,0,10.973263773138214,10.8764353
75,1,0,10.966480005411661,10.8706408
76,1,0,10.958821029153079,10.8640585
77,1,0,10.951904938526457,10.8577719
78,1,0,10.944691438145158,10.8518381
79,1,0,10.937119352374559,10.8466616
80,1,0,10.930725753801168,10.8419819
81,1,0,10.923928438954512,10.8375263
82,1,0,10.918239097397693,10.8331614
83,1,0,10.911652682951503,10.8283052
84,1,0,10.90659202176256,10.8229694
85,1,0,10.900160515369757,10.817543
86,1,0,10.894256277849848,10.8121166
87,1,0,10.888843967394337,10.8067694
88,1,0,10.8834522709301,10.7995176
89,1,0,10.876745462539297,10.7918606
90,1,0,10.869631145067798,10.7842512
91,1,0,10.862629505057367,10.777318
92,1,0,10.856157594927117,10.7709436
93,1,0,10.849274673540538,10.7651138
94,1,0,10.842907562571412,10.7596464
95,1,0,10.836546787314312,10.7538357
96,1,0,10.830254397516683,10.7480717
97,1,0,10.823171597772543,10.7428522
98,1,0,10.816600849694723,10.7372532
99,1,0,10.810976832991077,10.7314682
100,1,0,10.804539313288181,10.7247734
101,1,0,10.799027892537124,10.7183943
102,1,0,10.792703601059163,10.7123985
103,1,0,10.786061802296484,10.7072182
104,1,0,10.77988701735147,10.7025738
105,1,0,10.773781457482853,10.6981716
106,1,0,10.768111116078572,10.6938715
107,1,0,10.762482889958225,10.68904
108,1,0,10.757261557172221,10.6836958
109,1,0,10.75123404077563,10.6782713
110,1,0,10.745627409045156,10.672864
111,1,0,10.74003600625795,10.6675425
112,1,0,10.73483964919209,10.6602259
113,1,0,10.728467031918514,10.6524982
114,1,0,10.728467031918514,10.6448355
115,1,0,10.715439770892518,10.637886
116,1,0,10.708799412731441,10.631526
117,1,0,10.702171690483324,10.6257334
118,1,0,10.69597323143127,10.6203127
119,1,0,10.69855873105648,10.6145277
120,1,0,10.707161349688917,10.6087818
121,1,0,10.715458638207942,10.6035891
122,1,0,10.707898448936017,10.5979977
123,1,0,10.69964557208787,10.5922194
124,1,0,10.691154343492496,10.5854959
125,1,0,10.683176263592802,10.5790949
126,1,0,10.674943434455601,10.5730829
127,1,0,10.666054381811833,10.5679054
128,1,0,10.658457772085718,10.5632734
129,1,0,10.650545120621242,10.5588884
130,1,0,10.643503017809547,10.5546083
131,1,0,10.636885710828553,10.5497856
132,1,0,10.629550722860284,10.54444
133,1,0,10.622648353606287,10.5390167
134,1,0,10.616157660180969,10.5336142
135,1,0,10.60970329464771,10.5282993
136,1,0,10.602178417472647,10.5209627
137,1,0,10.5947316594522,10.5132132
138,1,0,10.586972015298812,10.5055342
139,1,0,10.579649212849477,10.49858
140,1,0,10.572011702390494,10.4922256
141,1,0,10.564803238609127,10.4864445
142,1,0,10.558005207284529,10.481039
143,1,0,10.550517912291893,10.4752655
144,1,0,10.543071229860766,10.4695282
145,1,0,10.536041322353416,10.4643478
146,1,0,10.529786309141283,10.458765
147,1,0,10.522485261674994,10.4529934
148,1,0,10.51489265206152,10.4462671
149,1,0,10.50771645179782,10.4398642
150,1,0,10.500582101462522,10.4338551
151,1,0,10.492777142366354,10.4286823
152,1,0,10.486101619563481,10.4240589
153,1,0,10.479804080479832,10.4196825
154,1,0,10.473144540440925,10.415411
155,1,0,10.467227640388558,10.4105921
156,1,0,10.460598038172744,10.4052467
157,1,0,10.454341066757335,10.3998232
158,1,0,10.448442250847695,10.39442
159,1,0,10.442553553440558,10.3891048
160,1,0,10.435256668288504,10.3817625
161,1,0,10.428021129171647,10.3740053
162,1,0,10.420844942990273,10.3663216
163,1,0,10.413696440651025,10.3593664
164,1,0,10.40660507469754,10.3530149
165,1,0,10.3995391917435,10.34724
166,1,0,10.392857286873722,10.3418446
167,1,0,10.386545215536387,10.3360806
168,1,0,10.379541587642066,10.3303537
169,1,0,10.372918345291081,10.3251858
170,1,0,10.36666162980116,10.3196135
171,1,0,10.359711724613993,10.3138533
172,1,0,10.352447418285903,10.3071365
173,1,0,10.345570707998027,10.3007431
174,1,0,10.338375414586912,10.2947426
175,1,0,10.331564408897204,10.28958
176,1,0,10.324757040908594,10.2849665
177,1,0,10.318645568440083,10.2805986
178,1,0,10.312186467920577,10.2763338
179,1,0,10.306084270342224,10.2715187
180,1,0,10.30032625408217,10.2661753
181,1,0,10.30032625408217,10.2607517
182,1,0,10.304308101026702,10.2553482
183,1,0,10.31459411582998,10.2500324
184,1,0,10.307311597748797,10.2426853
185,1,0,10.298973105744857,10.2349243
186,1,0,10.290736110421017,10.2272377
187,1,0,10.282234010961048,10.2202835
188,1,0,10.274170592379987,10.2139359
189,1,0,10.266168009388235,10.20817
190,1,0,10.258583148201112,10.2027855
191,1,0,10.251399212304884,10.1970348
192,1,0,10.244600241333073,10.1913252
193,1,0,10.23710321099015,10.1861773
194,1,0,10.230000851542599,10.1806278
195,1,0,10.22188644283871,10.17489
196,1,0,10.214540920406352,10.1681948
197,1,0,10.206517862749118,10.1618242
198,1,0,10.190925737179747,10.1558466
199,1,0,10.183340030953955,10.1507053
200,1,0,10.176147570698445,10.1461105
201,1,0,10.169656916626934,10.1417589
202,1,0,10.162809542175879,10.1375065
203,1,0,10.156327921999964,10.1327009
204,1,0,10.150198916944676,10.1273642
205,1,0,10.144062441887721,10.1219444
206,1,0,10.13688748435742,10.1165419
207,1,0,10.12976803194326,10.1112261
208,1,0,10.123022176644154,10.103879
209,1,0,10.115971939592786,10.096118
210,1,0,10.107915941587567,10.0884342
211,1,0,10.099919821802944,10.0814877
212,1,0,10.092327722058382,10.0751553
213,1,0,10.084781152163114,10.0694132
214,1,0,10.077623976641343,10.0640593
215,1,0,10.070843098071542,10.0583477
216,1,0,10.064425745960783,10.0526838
217,1,0,10.057302191128661,10.0475874
218,1,0,10.050897002038317,10.0420933
219,1,0,10.043783779695545,10.0364141
220,1,0,10.037044666689654,10.0297794
221,1,0,10.029950211063772,10.0234728
222,1,0,10.022483353358481,10.01756
223,1,0,10.01574505687248,10.0124817
224,1,0,10.009683882020472,10.007947
225,1,0,10.003241798469087,10.00365
226,1,0,9.99746645686926,9.999446
227,1,0,9.992019633060888,9.994682
228,1,0,9.985827244985938,9.989382
229,1,0,9.979634861505764,9.983994
230,1,0,9.973784457974482,9.97862
231,1,0,9.967949554630671,9.973331
232,1,0,9.961064112565294,9.966016
233,1,0,9.954201630750738,9.958294
234,1,0,9.947389020366568,9.950665
235,1,0,9.940597801270048,9.9438
236,1,0,9.934168813558,9.937581
237,1,0,9.92774931997504,9.931986
238,1,0,9.92168013294071,9.92682
239,1,0,9.915949641722463,9.921333
240,1,0,9.909477596666092,9.915934
241,1,0,9.909477596666092,9.911141
242,1,0,9.917998971654487,9.905992
243,1,0,9.932443836744397,9.900687
244,1,0,9.924804105191656,9.89446449
245,1,0,9.917534448717227,9.88859749
246,1,0,9.910591093856361,9.885005
247,1,0,9.903962311581996,9.884413
248,1,0,9.897608040281039,9.886657
249,1,0,9.892650166116672,9.890747
250,1,0,9.887936002808287,9.895207
251,1,0,9.883107436710013,9.898688
252,1,0,9.879612816862915,9.901151
253,1,0,9.876310762274212,9.903751
254,1,0,9.873194748309446,9.906799
255,1,0,9.869490156092363,9.910186
256,1,0,9.866655947993998,9.909154
257,1,0,9.863226939089252,9.907413
258,1,0,9.86066068684183,9.90621
259,1,0,9.858511895573987,9.907006
260,1,0,9.857252066848456,9.909633
261,1,0,9.85652535319336,9.913854
262,1,0,9.855229972144794,9.918968
263,1,0,9.854465466667161,9.922762
