frame_id,track_id,gt_id,distance
1,1,0,
2,1,0,
3,1,0,
4,1,0,
5,1,0,
6,1,0,
7,1,0,
8,1,0,
9,1,0,
10,1,0,
11,1,0,
12,1,0,
13,1,0,
14,1,0,
15,1,0,
16,1,0,
17,1,0,
18,1,0,
19,1,0,
20,1,0,
21,1,0,
22,1,0,
23,1,0,
24,1,0,
25,1,0,
26,1,0,
27,1,0,
28,1,0,
29,1,0,
30,1,0,
31,1,0,
32,1,0,0.37858378865308484
33,1,0,0.3889430293721333
34,1,0,0.38586013704332384
35,1,0,0.34662258593330086
36,1,0,0.313366969876719
37,1,0,0.2865263850376082
38,1,0,0.26572940053905897
39,1,0,0.24842856706215444
40,1,0,0.2250821792644235
41,1,0,0.220182886729535
42,1,0,0.21766674951383047
43,1,0,0.21640898445362416
44,1,0,0.21857389474421832
45,1,0,0.22223190629007536
46,1,0,0.22773364961742049
47,1,0,0.23230902497497635
48,1,0,0.2371475140055514
49,1,0,0.24267399973054204
50,1,0,0.24633554330344656
51,1,0,0.24997558411803128
52,1,0,0.25117436541050353
53,1,0,0.2525325553159057
54,1,0,0.2543816142610012
55,1,0,0.2572708385160966
56,1,0,0.26107734219404183
57,1,0,0.25059997974352605
58,1,0,0.2529901426996026
59,1,0,0.24044435255901916
60,1,0,0.2434043493178863
61,1,0,0.24675504942904639
62,1,0,0.24998406776601048
63,1,0,0.2535284066543968
64,1,0,0.2539449134380455
65,1,0,0.2536208615837212
66,1,0,0.2545888061272556
67,1,0,0.256707728904333
68,1,0,0.26020614002191644
69,1,0,0.2644995385769299
70,1,0,0.2693338802684292
71,1,0,0.2729533615269825
72,1,0,0.2763321425334737
73,1,0,0.2800343445118465
74,1,0,0.28193010520826606
75,1,0,0.28360971648864447
76,1,0,0.2819039935541081
77,1,0,0.2814022309849805
78,1,0,0.28153084503321407
79,1,0,0.28225219620943626
80,1,0,0.28450136604537063
81,1,0,0.28655804292331516
82,1,0,0.289583892106898
83,1,0,0.29100155898347524
84,1,0,0.29137017216240285
85,1,0,0.2922480138453692
86,1,0,0.29378186022320013
87,1,0,0.2955939125339276
88,1,0,0.2939305729423159
89,1,0,0.29198733934229193
90,1,0,0.2905854143369049
91,1,0,0.2912411504522054
92,1,0,0.2933454715699344
93,1,0,0.29652386142414777
94,1,0,0.3002403157643589
95,1,0,0.30223699151712063
96,1,0,0.3040432587906678
97,1,0,0.30606670536579167
