32,1,5.730500385239454,11.46962851861526,0.0,1.0,1,1
32,2,7.074651364697301,7.707458310329584,-8.146552687139456e-16,1.0,1,1
33,1,5.730500385239454,11.46962851861526,0.0,1.0,1,1
33,2,7.074651364697301,7.707458310329584,-8.146552687139456e-16,1.0,1,1
34,1,5.7480696981936745,11.462968681035115,0.0,1.0,1,1
34,2,7.075843516743639,7.7059884379004195,-8.116747821025135e-16,1.0,1,1
35,1,5.803665564800321,11.432117489736957,0.0,1.0,1,1
35,2,7.177667513331549,7.5804890900182205,-7.791672615008443e-16,1.0,1,1
36,1,5.8561192627604655,11.403581484560444,0.0,1.0,1,1
36,2,7.271301863735863,7.465131651248957,-7.489501277297225e-16,1.0,1,1
37,1,5.904730588761483,11.377916855249323,0.0,1.0,1,1
37,2,7.356895019045346,7.359724583640261,-7.233961111761925e-16,1.0,1,1
38,1,5.9498477492869855,11.354853584591254,0.0,1.0,1,1
38,2,7.43468355269896,7.263967256397933,-7.031393174160076e-16,1.0,1,1
39,1,5.992041204209393,11.332142631778872,0.0,1.0,1,1
39,2,7.5050044453497575,7.177435873338045,-6.801271514407074e-16,1.0,1,1
40,1,6.032177921873922,11.310496355998342,0.0,1.0,1,1
40,2,7.568282929594825,7.099598666427957,-6.635462972925547e-16,1.0,1,1
41,1,6.106521069892375,11.273783627301464,0.0,1.0,1,1
41,2,7.675719436420546,6.967506568103018,-6.212661255583256e-16,1.0,1,1
42,1,6.1404309586963794,11.257147269056961,0.0,1.0,1,1
42,2,7.720960709339051,6.911904975218442,-6.01228769267586e-16,1.0,1,1
43,1,6.173319738224622,11.239652415312777,0.0,1.0,1,1
43,2,7.761281696155567,6.862358997424606,-5.882675823728255e-16,1.0,1,1
44,1,6.204280962974424,11.224432336353743,0.0,1.0,1,1
44,2,7.797210021415093,6.818214830875613,-5.661959740017514e-16,1.0,1,1
45,1,6.233718448972583,11.209428092925751,0.0,1.0,1,1
45,2,7.829240694600944,6.778860104344432,-5.426831481008296e-16,1.0,1,1
46,3,1.8785344280765615,6.496828577943647,1.1077922142986015e-16,1.0,1,1
46,1,6.262327497650142,11.195308386277318,0.0,1.0,1,1
46,2,7.857827621144126,6.743734515087611,-5.28848819520359e-16,1.0,1,1
47,3,1.88826772171842,6.4869640634033745,1.1094586813182442e-16,1.0,1,1
47,1,6.288838227886247,11.181967601295893,0.0,1.0,1,1
47,2,7.883378993079798,6.712335632323952,-5.100964201328393e-16,1.0,1,1
48,3,1.8980112476364726,6.479109733417345,1.0762050763342968e-16,1.0,1,1
48,1,6.314792375159474,11.169368903998254,0.0,1.0,1,1
48,2,7.906255965603105,6.684220572264917,-4.959847628299059e-16,1.0,1,1
49,3,1.9085218494557292,6.472172397410504,1.0081932160430661e-16,1.0,1,1
49,1,6.339465393030649,11.158091478164055,0.0,1.0,1,1
49,2,7.926773865842943,6.659004416719924,-4.848684749141317e-16,1.0,1,1
50,3,1.9174855353506897,6.462931783263662,1.0334678557925226e-16,1.0,1,1
50,1,6.36315008098577,11.146231507679236,0.0,1.0,1,1
50,2,7.9452052481414395,6.63635639370307,-4.66497240142182e-16,1.0,1,1
51,3,1.9272613843847552,6.454694483316359,1.646603122296799e-16,1.0,1,1
51,1,6.385783439321255,11.135608282569986,0.0,1.0,1,1
51,2,7.961783863929858,6.615994460159344,-4.534962061256896e-16,1.0,1,1
52,3,1.9377772032923937,6.447368373578878,1.6062216278594461e-16,1.0,1,1
52,1,6.408891054323805,11.124404240683997,0.0,1.0,1,1
52,2,7.976709250166051,6.597679320244344,-4.433584041263304e-16,1.0,1,1
53,3,1.9475068474889698,6.437015561725358,1.600567219202857e-16,1.0,1,1
53,1,6.4310401904626175,11.114367361991697,0.0,1.0,1,1
53,2,7.990151276144352,6.581208195678822,-3.947002189023055e-16,1.0,1,1
54,3,1.9568397831980615,6.425577091004618,1.6005993026909268e-16,1.0,1,1
54,1,6.452968797467175,11.104318057922221,0.0,1.0,1,1
54,2,8.002254456978356,6.566408838589252,-1.1532849593258914e-16,1.0,1,1
55,3,1.9669261928248463,6.41526003336214,1.6015139674858365e-16,1.0,1,1
55,1,6.473979157746874,11.09484951558501,0.0,1.0,1,1
55,2,8.01314187525779,6.553134019613306,-3.2312227992738984e-17,1.0,1,1
56,3,1.977033777724134,6.406767580801816,1.6025207383804367e-16,1.0,1,1
56,1,6.494245924379168,11.086386108177646,0.0,1.0,1,1
56,2,8.022918674186947,6.541256634947695,2.2086409325926477e-16,1.0,1,1
57,3,1.977033777724134,6.406767580801816,1.6025207383804367e-16,1.0,1,1
57,1,6.494245924379168,11.086386108177646,0.0,1.0,1,1
57,2,8.022918674186947,6.541256634947695,2.2086409325926477e-16,1.0,1,1
58,3,1.9948826310262056,6.3910352866016416,1.603489695811597e-16,1.0,1,1
58,1,6.508461812173,11.085012458663194,0.0,1.0,1,1
58,2,7.984765273102633,6.591176371330329,7.320254088782234e-17,1.0,1,1
59,3,2.0051404843647656,6.382224570660299,1.604375808051947e-16,1.0,1,1
59,1,6.500800162328746,11.094280538677229,0.0,1.0,1,1
59,2,7.919440279837916,6.672636074339307,7.36046701400297e-16,1.0,1,1
60,3,2.0154454562937985,6.375148293496627,1.6052373011671048e-16,1.0,1,1
60,1,6.52191734110483,11.086066750834629,0.0,1.0,1,1
60,2,7.9320459592792965,6.656973437599731,7.578554663047963e-16,1.0,1,1
61,3,2.0264599017516556,6.368832978163818,1.6060412856799754e-16,1.0,1,1
61,1,6.542980652672246,11.077600770734552,0.0,1.0,1,1
61,2,7.943414209926184,6.642819513047739,7.773659661843225e-16,1.0,1,1
62,3,2.03665853327829,6.359481101374724,1.6067727516392123e-16,1.0,1,1
62,1,6.562883666516043,11.069305654436478,0.0,1.0,1,1
62,2,7.953688558290853,6.6300053819594655,7.93720966835368e-16,1.0,1,1
63,3,2.046912186930709,6.351821694261934,1.6074952132601975e-16,1.0,1,1
63,1,6.582230346681267,11.061842158940534,0.0,1.0,1,1
63,2,7.962985515203618,6.618394343830335,8.081355003516251e-16,1.0,1,1
64,3,2.0568870183327888,6.344111008067674,1.5954179716290926e-16,1.0,1,1
64,1,6.601744887968287,11.054563720272762,0.0,1.0,1,1
64,2,7.97140164277331,6.607872925392581,8.087477757252716e-16,1.0,1,1
65,3,2.067108466121506,6.334423614918656,1.5939612278082918e-16,1.0,1,1
65,1,6.621507155694036,11.045766116375258,0.0,1.0,1,1
65,2,7.979018433027711,6.59834474347452,8.13482071748783e-16,1.0,1,1
66,3,2.0780031351847374,6.325646351484449,1.5942639454843543e-16,1.0,1,1
66,1,6.642073977010359,11.03670562008011,0.0,1.0,1,1
66,2,7.985905743536459,6.589726304122529,8.231465824213312e-16,1.0,1,1
67,3,2.0881496231971384,6.314209755638426,1.1043071425047342e-16,1.0,1,1
67,1,6.662259524419383,11.0273109638056,0.0,1.0,1,1
67,2,7.992124271702686,6.58194411194306,8.442707717802857e-16,1.0,1,1
68,3,2.0983648589580226,6.304495921235965,1.0572852982492254e-16,1.0,1,1
68,1,6.681909139161862,11.018775303314289,0.0,1.0,1,1
68,2,7.997727377406754,6.574932659839275,8.487463686396938e-16,1.0,1,1
69,3,2.1083328145907654,6.294873051257493,1.0142576736815515e-16,1.0,1,1
69,1,6.701252562906342,11.00987887098134,0.0,1.0,1,1
69,2,8.002762453284262,6.568633005364491,7.524474063362304e-16,1.0,1,1
70,3,2.118382016098308,6.286807321335001,1.0419346461181953e-16,1.0,1,1
70,1,6.720129272972525,11.001785383891006,0.0,1.0,1,1
70,2,8.007271972400783,6.562991735553389,5.947619196840025e-16,1.0,1,1
71,3,2.128658502856441,6.276917183458166,1.0467201360487908e-16,1.0,1,1
71,1,6.738571788010079,10.99442802425251,0.0,1.0,1,1
71,2,8.01129429282198,6.557960183258096,5.847629484164753e-16,1.0,1,1
72,3,2.1381246172847144,6.267802973180318,1.0477731600129034e-16,1.0,1,1
72,1,6.757232996375147,10.987239823830219,0.0,1.0,1,1
