Image,Component,Origin,License,Distributed by you?,Comments
scenescape-camcalibration,umf==0.11.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-controller,asttokens==3.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-controller,importlib_metadata==8.7.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-controller,packaging==25.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-controller,requests==2.32.4,pypi,Apache-2.0,Y,imported
scenescape-controller,retrying==1.4.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,asttokens==3.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,cachetools==5.5.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,google-auth==2.40.3,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,importlib_metadata==8.7.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,kubernetes==33.1.0,pypi,Apache-2.0,Y,imported
scenescape-manager,packaging==25.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,requests==2.32.4,pypi,Apache-2.0,Y,imported
scenescape-manager,requests-toolbelt==1.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,retrying==1.4.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,rsa==4.9.1,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-manager,websocket-client==1.8.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
scenescape-camcalibration,libllvm15:amd64:1:15.0.7-0ubuntu0.22.04.3,Ubuntu,Apache-2.0 and BSD-3-Clause and MIT,Y,used by openvino
scenescape-manager,libjson-perl:4.04000-1,Ubuntu,Artistic License 1.0,Y,indirect dependency automatically installed
scenescape-manager,libperl5.34:amd64:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
scenescape-manager,perl:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
scenescape-manager,perl-base:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
scenescape-manager,perl-modules-5.34:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
scenescape-controller,fonts-dejavu-core:2.37-8,Ubuntu,Bitstream Vera License,Y,indirect dependency automatically installed
scenescape-controller,fonts-dejavu-mono:2.37-8,Ubuntu,Bitstream Vera License,Y,indirect dependency automatically installed
scenescape-manager,bzip2:1.0.8-5build1,Ubuntu,BSD License,Y,used during initialization to unzip sample database
scenescape-manager,libbsd0:amd64:0.11.5-1,Ubuntu,BSD License,Y,indirect dependency automatically installed
scenescape-manager,libedit2:amd64:3.1-20210910-1build1,Ubuntu,BSD License,Y,indirect dependency automatically installed
scenescape-camcalibration,kiwisolver==1.4.8,pypi,BSD License,Y,indirect dependency. auto installed
scenescape-controller,kiwisolver==1.4.8,pypi,BSD License,Y,indirect dependency. auto installed
scenescape-manager,kiwisolver==1.4.8,pypi,BSD License,Y,indirect dependency. auto installed
scenescape-controller,libaec0:amd64:1.1.2-1build1,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
scenescape-controller,libaom3:amd64:3.8.2-2ubuntu0.1,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
